"COUNTRY","Country","SEX","Sex","AGE","Age","EMPSTAT","Employment status","TENURE","Job tenure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","1MONTH","<1 month","A","Annual","2000","2000","YR","Years","0","Units",,,0.0415018983185291,,
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","1MONTH","<1 month","A","Annual","2001","2001","YR","Years","0","Units",,,0.0355241447687149,,
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","1MONTH","<1 month","A","Annual","2002","2002","YR","Years","0","Units",,,0.0224570594727993,,
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","1MONTH","<1 month","A","Annual","2003","2003","YR","Years","0","Units",,,0.053759828209877,,
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","1MONTH","<1 month","A","Annual","2004","2004","YR","Years","0","Units",,,0.0339804217219352,,
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","1MONTH","<1 month","A","Annual","2005","2005","YR","Years","0","Units",,,0.0466519817709922,,
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","1MONTH","<1 month","A","Annual","2006","2006","YR","Years","0","Units",,,0.0444204360246658,,
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","1MONTH","<1 month","A","Annual","2007","2007","YR","Years","0","Units",,,0.0433607101440429,,
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","1MONTH","<1 month","A","Annual","2008","2008","YR","Years","0","Units",,,0.0435867607593536,,
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","1MONTH","<1 month","A","Annual","2009","2009","YR","Years","0","Units",,,0.0447263345122337,,
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","1MONTH","<1 month","A","Annual","2010","2010","YR","Years","0","Units",,,0.0425614938139915,,
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","1MONTH","<1 month","A","Annual","2011","2011","YR","Years","0","Units",,,0.0441651865839958,,
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","1MONTH","<1 month","A","Annual","2012","2012","YR","Years","0","Units",,,0.0417911373078823,,
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","1MONTH","<1 month","A","Annual","2013","2013","YR","Years","0","Units",,,0.0418555736541748,,
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","1MONTH","<1 month","A","Annual","2014","2014","YR","Years","0","Units",,,0.0443704836070537,,
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","1MONTH","<1 month","A","Annual","2015","2015","YR","Years","0","Units",,,0.0425494648516178,,
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","1MTO6M","1 to <6 months","A","Annual","2000","2000","YR","Years","0","Units",,,0.274609059095382,,
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","1MTO6M","1 to <6 months","A","Annual","2001","2001","YR","Years","0","Units",,,0.276777684688568,,
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","1MTO6M","1 to <6 months","A","Annual","2002","2002","YR","Years","0","Units",,,0.274362087249755,,
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","1MTO6M","1 to <6 months","A","Annual","2003","2003","YR","Years","0","Units",,,0.276588678359985,,
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","1MTO6M","1 to <6 months","A","Annual","2004","2004","YR","Years","0","Units",,,0.337348282337188,,
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","1MTO6M","1 to <6 months","A","Annual","2005","2005","YR","Years","0","Units",,,0.282251477241516,,
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","1MTO6M","1 to <6 months","A","Annual","2006","2006","YR","Years","0","Units",,,0.284734457731246,,
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","1MTO6M","1 to <6 months","A","Annual","2007","2007","YR","Years","0","Units",,,0.277939945459365,,
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","1MTO6M","1 to <6 months","A","Annual","2008","2008","YR","Years","0","Units",,,0.287553995847702,,
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","1MTO6M","1 to <6 months","A","Annual","2009","2009","YR","Years","0","Units",,,0.285780042409896,,
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","1MTO6M","1 to <6 months","A","Annual","2010","2010","YR","Years","0","Units",,,0.284089773893356,,
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","1MTO6M","1 to <6 months","A","Annual","2011","2011","YR","Years","0","Units",,,0.277274042367935,,
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","1MTO6M","1 to <6 months","A","Annual","2012","2012","YR","Years","0","Units",,,0.279224455356597,,
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","1MTO6M","1 to <6 months","A","Annual","2013","2013","YR","Years","0","Units",,,0.283328592777252,,
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","1MTO6M","1 to <6 months","A","Annual","2014","2014","YR","Years","0","Units",,,0.287616252899169,,
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","1MTO6M","1 to <6 months","A","Annual","2015","2015","YR","Years","0","Units",,,0.284608870744705,,
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","6MTO12M","6 to <12 months","A","Annual","2000","2000","YR","Years","0","Units",,,0.698639750480651,,
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","6MTO12M","6 to <12 months","A","Annual","2001","2001","YR","Years","0","Units",,,0.629579067230224,,
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","6MTO12M","6 to <12 months","A","Annual","2002","2002","YR","Years","0","Units",,,0.627562522888183,,
"DEU","Germany","MW","All persons","1519","15 to 19","DE","Dependent employment","6MTO12M","6 to <12 months","A","Annual","2003","2003","YR","Years","0","Units",,,0.699611186981201,,
