Data taken from https://www.cso.ie/en/releasesandpublications/ep/p-cp6ci/p6cii/p6td/,
Km to Mile conversion is ,1.609344
Distance fromwork in km,Distance from work in miles
5.88,3.65366261
8.33,5.176022031
8.53,5.30029627
8.6,5.343792253
9.58,5.952736022
11.69,7.263829237
14.65,9.103087966
16.15,10.03514475
16.97,10.54466913
17.09,10.61923368
17.26,10.72486678
17.52,10.88642329
17.62,10.94856041
17.96,11.15982661
18.06,11.22196373
18.22,11.32138312
18.27,11.35245168
18.78,11.66935099
18.92,11.75634296
19.5,12.11673825
19.97,12.40878271
20.02,12.43985127
20.43,12.69461346
20.63,12.8188877
20.87,12.96801678
21.29,13.22899268
21.42,13.30977094
21.58,13.40919033
22.55,14.01192038
23.33,14.49658991
25.11,15.60263064
